6925.R080,Softball 12th (Af.S.)
6922.R010,(0.5 PE Credit) Drill Team 1st Time Taken
6922.R020,(0.5 PE Credit) Drill Team 2nd Time Taken
6922.RL00,Drill Team 3rd & 4th Time
"5951.R100, P2",(0.5 PE Credit) Drill Team 1st Time Taken
"5952.R100, P2",(0.5 PE Credit) Drill Team 2nd Time Taken
6922.RL00,Drill Team 3rd & 4th Time
5951.R000,Dance I (Fine Arts Credit)
6565.R000,Dance I (PE Credit)
6566.R000,Dance I (PE Credit)
5952.R000,Dance II (Fine Arts Credit)
6567.R000,Dance II (PE Credit Sp Sem Only
5953.R000,Dance III
5954.R000,Dance IV
1643.R000,Theatre Arts I
1646.R000,Theatre Arts II
1653.R000,Theatre Arts III
1663.R000,Theatre Arts IV
1644.R000,Technical Theatre I
1647.R000,Technical Theatre II
1649.R000,Technical Theatre III
1650.R000,Technical Theatre IV
5621.R000,Varsity Mixed Choir I
5622.R000,Varsity Mixed Choir II
5623.R000,Varsity Mixed Choir III
5624.R000,Varsity Mixed Choir IV
5912.H000,Pre-AP Music Theory 2
5930.P000,AP Music Theory
2461.R000,Chinese I
2462.R000,Chinese II
2463.H000,Pre-AP Chinese III
2464.P000,AP Chinese IV
2013.R000,French I
2023.R000,French II
2033.H000,Pre-AP French III
2043.P000,AP French IV
2053.H000,French Literature V
2063.H000,French VI
2113.R000,German I
2123.R000,German II
2133.H000,Pre-AP German III
2143.P000,AP German IV
2153.H000,German V
2471.R000,Japanese I
2472.R000,Japanese II
2473.H000,Pre-AP Japanese III
2474.P000,AP Japanese IV
2475.H000,Japanese V
2213.R000,Latin I
2223.R000,Latin II
2233.H000,Pre-AP Latin III
2243.P000,AP Latin IV Vergil
2253.H000,Latin V
2313.R000,Spanish I
2323.R000,Spanish II
2333.R000,Regular Spanish III
2333.H000,Pre-AP Spanish III
2343.P000,AP Spanish IV
2356.P000,AP Spanish Literature V
2363.H000,Spanish VI
6331.R010,Marching Band I
6331.R020,Marching Band II
6331.RL00,Marching Band III
5331.R000,Concert Band I
5332.R000,Concert Band II
5333.R000,Concert Band III
5334.R000,Concert Band IV
5331.R100,Symphonic Band I
5332.R100,Symphonic Band II
5333.R100,Symphonic Band III
5334.R100,Symphonic Band IV
5331.R200,Wind Ensemble I
5332.R200,Wind Ensemble II
5333.R200,Wind Ensemble III
5334.R200,Wind Ensemble IV
5521.R200,Piano I
5422.R200,Piano II
5521.R300,Guitar I
5522.R300,Guitar II
5341.R000,Jazz Ensemble I
5342.R000,Jazz Ensemble II
5343.R000,Jazz Ensemble III
5344.R000,Jazz Ensemble IV
5521.R000,Stage Band I
5522.R000,Stage Band II
5523.R000,Stage Band III
5524.R000,Stage Band IV
5421.R000,Symphonic Orchestra I
5422.R000,Symphonic Orchestra II
5423.R000,Symphonic Orchestra III
5424.R000,Symphonic Orchestra IV
5421.R100,Philharmonic Orchestra I
5422.R100,Philharmonic Orchestra II
5423.R100,Philharmonic Orchestra III
5424.R100,Philharmonic Orchestra IV
5421.R200,Camerata Orchestra I
5422.R200,Camerata Orchestra II
5423.R200,Camerata Orchestra III
5424.R200,Camerata Orchestra IV
